Produktbereich,Produktgruppe,Produktbereichsname,Produktgruppenbezeichnung,Jahr,Richtung,Betrag,Betrag-Typ
02,0201,Sicherheit und Ordnung,Ordnungsrechtliche Angelegenheiten,2007,Ausgaben,1541986.41,Ergebnis
02,0202,Sicherheit und Ordnung,Gewerberechtliche Angelegenheiten,2007,Einnamen,1489905.66,Ergebnis
02,0202,Sicherheit und Ordnung,Gewerberechtliche Angelegenheiten,2007,Ausgaben,1071239.53,Ergebnis
02,0203,Sicherheit und Ordnung,Straßenverkehrsrechtliche Angelegenheiten,2007,Einnamen,7764468.02,Ergebnis
02,0203,Sicherheit und Ordnung,Straßenverkehrsrechtliche Angelegenheiten,2007,Ausgaben,4729822.71,Ergebnis
02,0204,Sicherheit und Ordnung,Bürgerangelegenheiten,2007,Einnamen,0,Ergebnis
02,0204,Sicherheit und Ordnung,Bürgerangelegenheiten,2007,Ausgaben,0,Ergebnis
02,0205,Sicherheit und Ordnung,Standesamtsangelegenheiten,2007,Einnamen,0,Ergebnis
02,0205,Sicherheit und Ordnung,Standesamtsangelegenheiten,2007,Ausgaben,0,Ergebnis
02,0206,Sicherheit und Ordnung,Ausländerangelegenheiten,2007,Einnamen,277172.76,Ergebnis
02,0206,Sicherheit und Ordnung,Ausländerangelegenheiten,2007,Ausgaben,1138641.76,Ergebnis
02,0207,Sicherheit und Ordnung,Statistik,2007,Einnamen,2245,Ergebnis
02,0207,Sicherheit und Ordnung,Statistik,2007,Ausgaben,512000.26,Ergebnis
02,0208,Sicherheit und Ordnung,Wahlen,2007,Einnamen,0,Ergebnis
02,0208,Sicherheit und Ordnung,Wahlen,2007,Ausgaben,0,Ergebnis
02,0209,Sicherheit und Ordnung,Brandschutz und feuerwehrtechnische Hilfeleistung,2007,Einnamen,0,Ergebnis
02,0209,Sicherheit und Ordnung,Brandschutz und feuerwehrtechnische Hilfeleistung,2007,Ausgaben,0,Ergebnis
02,0210,Sicherheit und Ordnung,Rettungsdienst,2007,Einnamen,0,Ergebnis
02,0210,Sicherheit und Ordnung,Rettungsdienst,2007,Ausgaben,0,Ergebnis
02,0211,Sicherheit und Ordnung,Veterinär- und Lebensmittelangelegenheiten,2007,Einnamen,0,Ergebnis
02,0211,Sicherheit und Ordnung,Veterinär- und Lebensmittelangelegenheiten,2007,Ausgaben,0,Ergebnis
03,0301,Schulträgeraufgaben,Leistungen für Schulen,2007,Einnamen,4438622.29,Ergebnis
03,0301,Schulträgeraufgaben,Leistungen für Schulen,2007,Ausgaben,24745480.17,Ergebnis
03,0302,Schulträgeraufgaben,Zentrale Leistungen für Schüler/-innen und am Schulleben Beteiligte,2007,Einnamen,401970.25,Ergebnis
03,0302,Schulträgeraufgaben,Zentrale Leistungen für Schüler/-innen und am Schulleben Beteiligte,2007,Ausgaben,8890570.35,Ergebnis
04,0401,Kultur und Wissenschaft,Kulturmanagement / Kulturförderung,2007,Einnamen,800432.67,Ergebnis
04,0401,Kultur und Wissenschaft,Kulturmanagement / Kulturförderung,2007,Ausgaben,4354304.86,Ergebnis
04,0402,Kultur und Wissenschaft,Volkshochschule,2007,Einnamen,2646243.56,Ergebnis
04,0402,Kultur und Wissenschaft,Volkshochschule,2007,Ausgaben,3297617.5,Ergebnis
04,0403,Kultur und Wissenschaft,Westf. Schule für Musik und Förderung der Stadtteilmusikschulen,2007,Einnamen,1732070.49,Ergebnis
04,0403,Kultur und Wissenschaft,Westf. Schule für Musik und Förderung der Stadtteilmusikschulen,2007,Ausgaben,3821591.82,Ergebnis
04,0404,Kultur und Wissenschaft,Stadtbücherei und Förderung von Büchereien freier Träger,2007,Einnamen,917893.46,Ergebnis
04,0404,Kultur und Wissenschaft,Stadtbücherei und Förderung von Büchereien freier Träger,2007,Ausgaben,4155602.53,Ergebnis
04,0405,Kultur und Wissenschaft,Stadtmuseum,2007,Einnamen,218815.75,Ergebnis
04,0405,Kultur und Wissenschaft,Stadtmuseum,2007,Ausgaben,1266129.53,Ergebnis
04,0406,Kultur und Wissenschaft,Stadtarchiv,2007,Einnamen,8362.51,Ergebnis
04,0406,Kultur und Wissenschaft,Stadtarchiv,2007,Ausgaben,592216.43,Ergebnis
04,0407,Kultur und Wissenschaft,Städtische Bühnen,2007,Einnamen,0,Ergebnis
04,0407,Kultur und Wissenschaft,Städtische Bühnen,2007,Ausgaben,0,Ergebnis
04,0408,Kultur und Wissenschaft,Geschichtsort Villa ten Hompel,2007,Einnamen,147323.14,Ergebnis
04,0408,Kultur und Wissenschaft,Geschichtsort Villa ten Hompel,2007,Ausgaben,485911.06,Ergebnis
05,0501,Soziale Leistungen,Leistungen der Grundsicherung nach dem SGB II,2007,Einnamen,0,Ergebnis
05,0501,Soziale Leistungen,Leistungen der Grundsicherung nach dem SGB II,2007,Ausgaben,0,Ergebnis
05,0502,Soziale Leistungen,Sicherung des Lebensunterhalts (ohne SGB II),2007,Einnamen,0,Ergebnis
05,0502,Soziale Leistungen,Sicherung des Lebensunterhalts (ohne SGB II),2007,Ausgaben,0,Ergebnis
05,0503,Soziale Leistungen,Sicherung besonderer sozialer Bedarfe,2007,Einnamen,0,Ergebnis
05,0503,Soziale Leistungen,Sicherung besonderer sozialer Bedarfe,2007,Ausgaben,0,Ergebnis
05,0504,Soziale Leistungen,Wohngeld,2007,Einnamen,0,Ergebnis
05,0504,Soziale Leistungen,Wohngeld,2007,Ausgaben,0,Ergebnis
05,0505,Soziale Leistungen,Lastenausgleich,2007,Einnamen,0,Ergebnis
05,0505,Soziale Leistungen,Lastenausgleich,2007,Ausgaben,0,Ergebnis
06,0601,"Kunder-, Jugend und Familienhilfe",Förderung von Kindern in Tagesbetreuung,2007,Einnamen,0,Ergebnis
06,0601,"Kunder-, Jugend und Familienhilfe",Förderung von Kindern in Tagesbetreuung,2007,Ausgaben,0,Ergebnis
06,0602,"Kunder-, Jugend und Familienhilfe",Kinder- und Jugendarbeit,2007,Einnamen,0,Ergebnis
06,0602,"Kunder-, Jugend und Familienhilfe",Kinder- und Jugendarbeit,2007,Ausgaben,0,Ergebnis
06,0603,"Kunder-, Jugend und Familienhilfe",Förd.von benachteiligten jungen Menschen,2007,Einnamen,0,Ergebnis
06,0603,"Kunder-, Jugend und Familienhilfe",Förd.von benachteiligten jungen Menschen,2007,Ausgaben,0,Ergebnis
06,0604,"Kunder-, Jugend und Familienhilfe",Familienförderung,2007,Einnamen,0,Ergebnis
06,0604,"Kunder-, Jugend und Familienhilfe",Familienförderung,2007,Ausgaben,0,Ergebnis
06,0605,"Kunder-, Jugend und Familienhilfe",Erzieherische und wirtschaftliche Hilfen für Familien,2007,Einnamen,0,Ergebnis
06,0605,"Kunder-, Jugend und Familienhilfe",Erzieherische und wirtschaftliche Hilfen für Familien,2007,Ausgaben,0,Ergebnis
07,0701,Gesundheitsdienste,Gesundheitsdienste,2007,Einnamen,0,Ergebnis
07,0701,Gesundheitsdienste,Gesundheitsdienste,2007,Ausgaben,0,Ergebnis
08,0801,Sportförderung,"Sportentwicklung, Sportanlagen und -stätten",2007,Einnamen,596611.4,Ergebnis
08,0801,Sportförderung,"Sportentwicklung, Sportanlagen und -stätten",2007,Ausgaben,4930467.82,Ergebnis
08,0802,Sportförderung,Bäder,2007,Einnamen,922248.63,Ergebnis
08,0802,Sportförderung,Bäder,2007,Ausgaben,3057557.9,Ergebnis
09,0901,Räumliche Planung und Entwicklung/Geoinformationen,"Stadt- und Regionalentwicklung, Stadtplanung",2007,Einnamen,62952.88,Ergebnis
09,0901,Räumliche Planung und Entwicklung/Geoinformationen,"Stadt- und Regionalentwicklung, Stadtplanung",2007,Ausgaben,3283415.88,Ergebnis
09,0902,Räumliche Planung und Entwicklung/Geoinformationen,"Vermessung, Kataster und Geoinformation",2007,Einnamen,0,Ergebnis
09,0902,Räumliche Planung und Entwicklung/Geoinformationen,"Vermessung, Kataster und Geoinformation",2007,Ausgaben,0,Ergebnis
10,1001,Bauen und Wohnen,Bauaufsicht und baurechtliche Beratung,2007,Einnamen,0,Ergebnis
10,1001,Bauen und Wohnen,Bauaufsicht und baurechtliche Beratung,2007,Ausgaben,0,Ergebnis
10,1002,Bauen und Wohnen,Denkmalschutz und Denkmalpflege,2007,Einnamen,869784.14,Ergebnis
10,1002,Bauen und Wohnen,Denkmalschutz und Denkmalpflege,2007,Ausgaben,1154534.6,Ergebnis
10,1003,Bauen und Wohnen,Wohnen,2007,Einnamen,0,Ergebnis
10,1003,Bauen und Wohnen,Wohnen,2007,Ausgaben,0,Ergebnis
11,1101,Ver- und Entsorgung,Abwasserbeseitigung,2007,Einnamen,0,Ergebnis
11,1101,Ver- und Entsorgung,Abwasserbeseitigung,2007,Ausgaben,0,Ergebnis
11,1102,Ver- und Entsorgung,Abfallwirtschaft (AWM),2007,Einnamen,0,Ergebnis
11,1102,Ver- und Entsorgung,Abfallwirtschaft (AWM),2007,Ausgaben,0,Ergebnis
12,1201,"Verkehrsflächen und -anlagen, ÖPNV",Bereitstellung von Verkehrsflächen und -anlagen,2007,Einnamen,0,Ergebnis
12,1201,"Verkehrsflächen und -anlagen, ÖPNV",Bereitstellung von Verkehrsflächen und -anlagen,2007,Ausgaben,0,Ergebnis
12,1202,"Verkehrsflächen und -anlagen, ÖPNV",Verkehrsplanung,2007,Einnamen,2089415.46,Ergebnis
12,1202,"Verkehrsflächen und -anlagen, ÖPNV",Verkehrsplanung,2007,Ausgaben,3188379.27,Ergebnis
13,1301,Natur- und Landschaftspflege,Grün- und Freiflächen,2007,Einnamen,3072520.57,Ergebnis
13,1301,Natur- und Landschaftspflege,Grün- und Freiflächen,2007,Ausgaben,11751884.58,Ergebnis
13,1302,Natur- und Landschaftspflege,Friedhöfe,2007,Einnamen,1444765.37,Ergebnis
13,1302,Natur- und Landschaftspflege,Friedhöfe,2007,Ausgaben,1507727.54,Ergebnis
13,1303,Natur- und Landschaftspflege,"Natur, Landschaft, Erholung, Wasserschutz",2007,Einnamen,156381.3,Ergebnis
13,1303,Natur- und Landschaftspflege,"Natur, Landschaft, Erholung, Wasserschutz",2007,Ausgaben,2141237.58,Ergebnis
13,1304,Natur- und Landschaftspflege,Fließende Gewässer,2007,Einnamen,0,Ergebnis
13,1304,Natur- und Landschaftspflege,Fließende Gewässer,2007,Ausgaben,0,Ergebnis
13,1305,Natur- und Landschaftspflege,Wald und Forstwirtschaft,2007,Einnamen,305377.57,Ergebnis
13,1305,Natur- und Landschaftspflege,Wald und Forstwirtschaft,2007,Ausgaben,349626.63,Ergebnis
14,1401,Umweltschutz,"Übergreifender Umweltschutz, Klima, Lärm, Boden, Abfall",2007,Einnamen,,Ergebnis
14,1401,Umweltschutz,"Übergreifender Umweltschutz, Klima, Lärm, Boden, Abfall",2007,Ausgaben,1612973.27,Ergebnis
15,1501,Wirtschaft und Tourismus,Anteile an Unternehmen,2007,Einnamen,0,Ergebnis
15,1501,Wirtschaft und Tourismus,Anteile an Unternehmen,2007,Ausgaben,0,Ergebnis
15,1502,Wirtschaft und Tourismus,Stadtmarketing (MM),2007,Einnamen,0,Ergebnis
15,1502,Wirtschaft und Tourismus,Stadtmarketing (MM),2007,Ausgaben,0,Ergebnis
15,1503,Wirtschaft und Tourismus,Stadthalle Hiltrup,2007,Einnamen,0,Ergebnis
15,1503,Wirtschaft und Tourismus,Stadthalle Hiltrup,2007,Ausgaben,0,Ergebnis
16,1601,Allgemeine Finanzwirtschaft,Allgemeine Finanzwirtschaft,2007,Einnamen,0,Ergebnis
16,1601,Allgemeine Finanzwirtschaft,Allgemeine Finanzwirtschaft,2007,Ausgaben,0,Ergebnis
17,1701,Stiftungen,Rechtlich unselbständige Stiftungen,2007,Einnamen,0,Ergebnis
17,1701,Stiftungen,Rechtlich unselbständige Stiftungen,2007,Ausgaben,0,Ergebnis
01,0101,Innere Verwaltung,Bezirksvertretungen (frei verfügbare Mittel),2008,Ausgaben,264067.28,Ergebnis
01,0102,Innere Verwaltung,"Geschäftsführung für politische Gremien, Städtepartnerschaften",2008,Einnamen,69028.07,Ergebnis
01,0102,Innere Verwaltung,"Geschäftsführung für politische Gremien, Städtepartnerschaften",2008,Ausgaben,3068166.93,Ergebnis
01,0103,Innere Verwaltung,"OB, BM und Verwaltungsführung",2008,Einnamen,62140,Ergebnis
01,0103,Innere Verwaltung,"OB, BM und Verwaltungsführung",2008,Ausgaben,3223786.05,Ergebnis
01,0104,Innere Verwaltung,Gleichstellung von Frau und Mann,2008,Einnamen,13895.76,Ergebnis
01,0104,Innere Verwaltung,Gleichstellung von Frau und Mann,2008,Ausgaben,507210.06,Ergebnis
01,0105,Innere Verwaltung,Personal- und Schwerbehindertenvertretung,2008,Einnamen,69117,Ergebnis
01,0105,Innere Verwaltung,Personal- und Schwerbehindertenvertretung,2008,Ausgaben,668911.33,Ergebnis
01,0106,Innere Verwaltung,Wirtschaftlichkeitsprüfung und Revision,2008,Einnamen,44179,Ergebnis
01,0106,Innere Verwaltung,Wirtschaftlichkeitsprüfung und Revision,2008,Ausgaben,962712.19,Ergebnis
01,0107,Innere Verwaltung,Public Relations,2008,Einnamen,88540.45,Ergebnis
01,0107,Innere Verwaltung,Public Relations,2008,Ausgaben,1200108.19,Ergebnis
01,0108,Innere Verwaltung,Personal- und Organisationsmanagement,2008,Einnamen,1110760.48,Ergebnis
01,0108,Innere Verwaltung,Personal- und Organisationsmanagement,2008,Ausgaben,5462275.78,Ergebnis
01,0109,Innere Verwaltung,Finanz- und Beteiligungsmanagement,2008,Einnamen,4763714.03,Ergebnis
01,0109,Innere Verwaltung,Finanz- und Beteiligungsmanagement,2008,Ausgaben,8823771.64,Ergebnis
01,0110,Innere Verwaltung,Recht,2008,Einnamen,507177.1,Ergebnis
01,0110,Innere Verwaltung,Recht,2008,Ausgaben,1702100.26,Ergebnis
01,0111,Innere Verwaltung,Immobilienmanagement,2008,Einnamen,25766197.91,Ergebnis
01,0111,Innere Verwaltung,Immobilienmanagement,2008,Ausgaben,15502839.85,Ergebnis
01,0112,Innere Verwaltung,Gebäudemanagement,2008,Einnamen,9972090.73,Ergebnis
01,0112,Innere Verwaltung,Gebäudemanagement,2008,Ausgaben,58164196.45,Ergebnis
01,0113,Innere Verwaltung,Zentrale Dienste,2008,Einnamen,2002797.57,Ergebnis
01,0113,Innere Verwaltung,Zentrale Dienste,2008,Ausgaben,3647538.71,Ergebnis
01,0114,Innere Verwaltung,Stiftungsmanagement,2008,Einnamen,358697.48,Ergebnis
01,0114,Innere Verwaltung,Stiftungsmanagement,2008,Ausgaben,481380.48,Ergebnis
01,0115,Innere Verwaltung,IT-Management (citeq),2008,Einnamen,0,Ergebnis
01,0115,Innere Verwaltung,IT-Management (citeq),2008,Ausgaben,0,Ergebnis
01,0116,Innere Verwaltung,Migrations- und Integrationsmanagement,2008,Einnamen,0,Ergebnis
01,0116,Innere Verwaltung,Migrations- und Integrationsmanagement,2008,Ausgaben,0,Ergebnis
02,0201,Sicherheit und Ordnung,Ordnungsrechtliche Angelegenheiten,2008,Einnamen,563819.13,Ergebnis
02,0201,Sicherheit und Ordnung,Ordnungsrechtliche Angelegenheiten,2008,Ausgaben,1977084.13,Ergebnis
02,0202,Sicherheit und Ordnung,Gewerberechtliche Angelegenheiten,2008,Einnamen,1504082.51,Ergebnis
02,0202,Sicherheit und Ordnung,Gewerberechtliche Angelegenheiten,2008,Ausgaben,1392352.41,Ergebnis
02,0203,Sicherheit und Ordnung,Straßenverkehrsrechtliche Angelegenheiten,2008,Einnamen,8329307.98,Ergebnis
02,0203,Sicherheit und Ordnung,Straßenverkehrsrechtliche Angelegenheiten,2008,Ausgaben,6152009.4,Ergebnis
02,0204,Sicherheit und Ordnung,Bürgerangelegenheiten,2008,Einnamen,1759764.26,Ergebnis
02,0204,Sicherheit und Ordnung,Bürgerangelegenheiten,2008,Ausgaben,5286849.56,Ergebnis
02,0205,Sicherheit und Ordnung,Standesamtsangelegenheiten,2008,Einnamen,426984.1,Ergebnis
02,0205,Sicherheit und Ordnung,Standesamtsangelegenheiten,2008,Ausgaben,1096167.9,Ergebnis
02,0206,Sicherheit und Ordnung,Ausländerangelegenheiten,2008,Einnamen,268140.06,Ergebnis
02,0206,Sicherheit und Ordnung,Ausländerangelegenheiten,2008,Ausgaben,1480882.45,Ergebnis
02,0207,Sicherheit und Ordnung,Statistik,2008,Einnamen,1400,Ergebnis
02,0207,Sicherheit und Ordnung,Statistik,2008,Ausgaben,586304.05,Ergebnis
02,0208,Sicherheit und Ordnung,Wahlen,2008,Einnamen,68264.61,Ergebnis
02,0208,Sicherheit und Ordnung,Wahlen,2008,Ausgaben,462504.02,Ergebnis
02,0209,Sicherheit und Ordnung,Brandschutz und feuerwehrtechnische Hilfeleistung,2008,Einnamen,891690.33,Ergebnis
02,0209,Sicherheit und Ordnung,Brandschutz und feuerwehrtechnische Hilfeleistung,2008,Ausgaben,16726796.04,Ergebnis
02,0210,Sicherheit und Ordnung,Rettungsdienst,2008,Einnamen,8538944.71,Ergebnis
02,0210,Sicherheit und Ordnung,Rettungsdienst,2008,Ausgaben,7303234.66,Ergebnis
02,0211,Sicherheit und Ordnung,Veterinär- und Lebensmittelangelegenheiten,2008,Einnamen,92664.76,Ergebnis
02,0211,Sicherheit und Ordnung,Veterinär- und Lebensmittelangelegenheiten,2008,Ausgaben,1854889.35,Ergebnis
03,0301,Schulträgeraufgaben,Leistungen für Schulen,2008,Einnamen,4792921.26,Ergebnis
03,0301,Schulträgeraufgaben,Leistungen für Schulen,2008,Ausgaben,27919138.2,Ergebnis
03,0302,Schulträgeraufgaben,Zentrale Leistungen für Schüler/-innen und am Schulleben Beteiligte,2008,Einnamen,184749.63,Ergebnis
03,0302,Schulträgeraufgaben,Zentrale Leistungen für Schüler/-innen und am Schulleben Beteiligte,2008,Ausgaben,10037770.87,Ergebnis
04,0401,Kultur und Wissenschaft,Kulturmanagement / Kulturförderung,2008,Einnamen,353883.78,Ergebnis
04,0401,Kultur und Wissenschaft,Kulturmanagement / Kulturförderung,2008,Ausgaben,3387111.08,Ergebnis
04,0402,Kultur und Wissenschaft,Volkshochschule,2008,Einnamen,2683653.45,Ergebnis
04,0402,Kultur und Wissenschaft,Volkshochschule,2008,Ausgaben,3669266.35,Ergebnis
04,0403,Kultur und Wissenschaft,Westf. Schule für Musik und Förderung der Stadtteilmusikschulen,2008,Einnamen,1827847.9,Ergebnis
04,0403,Kultur und Wissenschaft,Westf. Schule für Musik und Förderung der Stadtteilmusikschulen,2008,Ausgaben,4101730.27,Ergebnis
04,0404,Kultur und Wissenschaft,Stadtbücherei und Förderung von Büchereien freier Träger,2008,Einnamen,999697,Ergebnis
04,0404,Kultur und Wissenschaft,Stadtbücherei und Förderung von Büchereien freier Träger,2008,Ausgaben,5053039.29,Ergebnis
04,0405,Kultur und Wissenschaft,Stadtmuseum,2008,Einnamen,405804.86,Ergebnis
04,0405,Kultur und Wissenschaft,Stadtmuseum,2008,Ausgaben,1616710.5,Ergebnis
04,0406,Kultur und Wissenschaft,Stadtarchiv,2008,Einnamen,14454.76,Ergebnis
04,0406,Kultur und Wissenschaft,Stadtarchiv,2008,Ausgaben,677833.78,Ergebnis
04,0407,Kultur und Wissenschaft,Städtische Bühnen,2008,Einnamen,1629869.17,Ergebnis
04,0407,Kultur und Wissenschaft,Städtische Bühnen,2008,Ausgaben,19841186.14,Ergebnis
04,0408,Kultur und Wissenschaft,Geschichtsort Villa ten Hompel,2008,Einnamen,46339.53,Ergebnis
04,0408,Kultur und Wissenschaft,Geschichtsort Villa ten Hompel,2008,Ausgaben,422266.21,Ergebnis
05,0501,Soziale Leistungen,Leistungen der Grundsicherung nach dem SGB II,2008,Einnamen,18708114.48,Ergebnis
05,0501,Soziale Leistungen,Leistungen der Grundsicherung nach dem SGB II,2008,Ausgaben,51784458.75,Ergebnis
05,0502,Soziale Leistungen,Sicherung des Lebensunterhalts (ohne SGB II),2008,Einnamen,4281921.59,Ergebnis
05,0502,Soziale Leistungen,Sicherung des Lebensunterhalts (ohne SGB II),2008,Ausgaben,26739942.17,Ergebnis
05,0503,Soziale Leistungen,Sicherung besonderer sozialer Bedarfe,2008,Einnamen,4207227.97,Ergebnis
05,0503,Soziale Leistungen,Sicherung besonderer sozialer Bedarfe,2008,Ausgaben,31471604.42,Ergebnis
05,0504,Soziale Leistungen,Wohngeld,2008,Einnamen,2871.3,Ergebnis
05,0504,Soziale Leistungen,Wohngeld,2008,Ausgaben,820039.87,Ergebnis
05,0505,Soziale Leistungen,Lastenausgleich,2008,Einnamen,827472.01,Ergebnis
05,0505,Soziale Leistungen,Lastenausgleich,2008,Ausgaben,747882.14,Ergebnis
06,0601,"Kunder-, Jugend und Familienhilfe",Förderung von Kindern in Tagesbetreuung,2008,Einnamen,26999985.11,Ergebnis
06,0601,"Kunder-, Jugend und Familienhilfe",Förderung von Kindern in Tagesbetreuung,2008,Ausgaben,59163089.19,Ergebnis
06,0602,"Kunder-, Jugend und Familienhilfe",Kinder- und Jugendarbeit,2008,Einnamen,1478503.47,Ergebnis
06,0602,"Kunder-, Jugend und Familienhilfe",Kinder- und Jugendarbeit,2008,Ausgaben,6853260.96,Ergebnis
06,0603,"Kunder-, Jugend und Familienhilfe",Förd.von benachteiligten jungen Menschen,2008,Einnamen,1066881.94,Ergebnis
06,0603,"Kunder-, Jugend und Familienhilfe",Förd.von benachteiligten jungen Menschen,2008,Ausgaben,4251811.99,Ergebnis
06,0604,"Kunder-, Jugend und Familienhilfe",Familienförderung,2008,Einnamen,134203.14,Ergebnis
06,0604,"Kunder-, Jugend und Familienhilfe",Familienförderung,2008,Ausgaben,2391267.34,Ergebnis
06,0605,"Kunder-, Jugend und Familienhilfe",Erzieherische und wirtschaftliche Hilfen für Familien,2008,Einnamen,5550628.21,Ergebnis
06,0605,"Kunder-, Jugend und Familienhilfe",Erzieherische und wirtschaftliche Hilfen für Familien,2008,Ausgaben,37851999.89,Ergebnis
07,0701,Gesundheitsdienste,Gesundheitsdienste,2008,Einnamen,1096659.21,Ergebnis
07,0701,Gesundheitsdienste,Gesundheitsdienste,2008,Ausgaben,9072828.09,Ergebnis
08,0801,Sportförderung,"Sportentwicklung, Sportanlagen und -stätten",2008,Einnamen,545793.07,Ergebnis
08,0801,Sportförderung,"Sportentwicklung, Sportanlagen und -stätten",2008,Ausgaben,7183626.39,Ergebnis
08,0802,Sportförderung,Bäder,2008,Einnamen,926677.92,Ergebnis
08,0802,Sportförderung,Bäder,2008,Ausgaben,3150974.87,Ergebnis
09,0901,Räumliche Planung und Entwicklung/Geoinformationen,"Stadt- und Regionalentwicklung, Stadtplanung",2008,Einnamen,122321.51,Ergebnis
09,0901,Räumliche Planung und Entwicklung/Geoinformationen,"Stadt- und Regionalentwicklung, Stadtplanung",2008,Ausgaben,4032342.93,Ergebnis
09,0902,Räumliche Planung und Entwicklung/Geoinformationen,"Vermessung, Kataster und Geoinformation",2008,Einnamen,1027537.26,Ergebnis
09,0902,Räumliche Planung und Entwicklung/Geoinformationen,"Vermessung, Kataster und Geoinformation",2008,Ausgaben,6512019.59,Ergebnis
10,1001,Bauen und Wohnen,Bauaufsicht und baurechtliche Beratung,2008,Einnamen,2621385.62,Ergebnis
10,1001,Bauen und Wohnen,Bauaufsicht und baurechtliche Beratung,2008,Ausgaben,3313836.49,Ergebnis
10,1002,Bauen und Wohnen,Denkmalschutz und Denkmalpflege,2008,Einnamen,587859.45,Ergebnis
10,1002,Bauen und Wohnen,Denkmalschutz und Denkmalpflege,2008,Ausgaben,1180864.05,Ergebnis
10,1003,Bauen und Wohnen,Wohnen,2008,Einnamen,348482.95,Ergebnis
10,1003,Bauen und Wohnen,Wohnen,2008,Ausgaben,1840054.91,Ergebnis
11,1101,Ver- und Entsorgung,Abwasserbeseitigung,2008,Einnamen,60284442.83,Ergebnis
11,1101,Ver- und Entsorgung,Abwasserbeseitigung,2008,Ausgaben,35987932.23,Ergebnis
11,1102,Ver- und Entsorgung,Abfallwirtschaft (AWM),2008,Einnamen,1657133.04,Ergebnis
11,1102,Ver- und Entsorgung,Abfallwirtschaft (AWM),2008,Ausgaben,0,Ergebnis
12,1201,"Verkehrsflächen und -anlagen, ÖPNV",Bereitstellung von Verkehrsflächen und -anlagen,2008,Einnamen,25497314.61,Ergebnis
12,1201,"Verkehrsflächen und -anlagen, ÖPNV",Bereitstellung von Verkehrsflächen und -anlagen,2008,Ausgaben,56363276.02,Ergebnis
